0.616: [GC 4416K->1956K(15872K), 0.0149540 secs]
0.974: [GC 6372K->3008K(15872K), 0.0136660 secs]
1.220: [GC 7424K->3631K(15872K), 0.0111240 secs]
1.525: [GC 8047K->5585K(15872K), 0.0070660 secs]
2.290: [Full GC 7885K->6468K(15872K), 0.0339760 secs]
3.030: [Full GC 6789K->6470K(15936K), 0.0284460 secs]
3.705: [Full GC 6776K->6472K(15936K), 0.0281210 secs]
5.987: [Full GC 7549K->6333K(15936K), 0.0306580 secs]
6.662: [Full GC 7029K->6921K(15936K), 0.0287240 secs]
11.702: [Full GC 7493K->6929K(16788K), 0.0263630 secs]
13.625: [Full GC 8258K->6947K(16788K), 0.0249720 secs]
13.657: [Full GC 7023K->6788K(16788K), 0.0278370 secs]
19.741: [GC 11460K->6913K(16788K), 0.0017640 secs]
24.586: [Full GC 10617K->6944K(16788K), 0.0386100 secs]
26.463: [Full GC 10333K->6979K(16788K), 0.0396880 secs]
26.532: [Full GC 7529K->7132K(16788K), 0.0262670 secs]
28.103: [Full GC 7259K->7108K(17328K), 0.0291180 secs]
29.018: [Full GC 9225K->7113K(17328K), 0.0351780 secs]
29.765: [Full GC 8216K->7123K(17328K), 0.0345640 secs]
33.822: [Full GC 11623K->7128K(17328K), 0.0311420 secs]
34.975: [Full GC 8451K->7131K(17328K), 0.0354180 secs]
35.029: [Full GC 7482K->7221K(17328K), 0.0329190 secs]
36.859: [Full GC 7319K->7223K(17540K), 0.0265860 secs]
38.066: [Full GC 7761K->7224K(17540K), 0.0293860 secs]
41.761: [Full GC 9117K->7234K(17540K), 0.0381820 secs]
43.819: [Full GC 8788K->7236K(17540K), 0.0317830 secs]
45.622: [Full GC 7896K->7238K(17540K), 0.0268710 secs]
48.387: [Full GC 8271K->7412K(17540K), 0.0287200 secs]
48.432: [Full GC 7888K->7509K(18052K), 0.0314420 secs]
50.164: [Full GC 8127K->7583K(18276K), 0.0284320 secs]
50.811: [Full GC 7756K->7602K(18276K), 0.0290660 secs]
51.953: [Full GC 7828K->7613K(18432K), 0.0277990 secs]
52.791: [Full GC 8310K->7667K(18432K), 0.0310170 secs]
57.150: [Full GC 7985K->7671K(18432K), 0.0289020 secs]
58.171: [Full GC 8870K->7733K(18432K), 0.0349350 secs]
58.240: [Full GC 8879K->8421K(18780K), 0.0301540 secs]
62.720: [Full GC 8950K->7811K(20440K), 0.0324370 secs]
67.628: [Full GC 10203K->7822K(20440K), 0.0328020 secs]
69.173: [Full GC 8386K->7825K(20440K), 0.0281670 secs]
71.111: [Full GC 9484K->7828K(20440K), 0.0297770 secs]
73.293: [Full GC 9633K->7590K(20440K), 0.0395630 secs]
75.195: [Full GC 7927K->7593K(20440K), 0.0380430 secs]
75.863: [Full GC 10394K->7595K(20440K), 0.0267570 secs]
80.008: [Full GC 8205K->7633K(20440K), 0.0392940 secs]
83.111: [Full GC 9388K->7590K(20440K), 0.0439360 secs]
84.319: [Full GC 8446K->7609K(20440K), 0.0338500 secs]
84.370: [Full GC 8089K->7736K(20440K), 0.0277060 secs]
85.837: [Full GC 7844K->7737K(20440K), 0.0293790 secs]
86.684: [Full GC 7838K->7687K(20376K), 0.0310000 secs]
87.431: [Full GC 7788K->7688K(20376K), 0.0286650 secs]
89.517: [Full GC 7795K->7690K(20376K), 0.0288700 secs]
94.227: [Full GC 10381K->7692K(20376K), 0.0432190 secs]
124.398: [GC 13388K->8012K(20440K), 0.0015680 secs]
129.187: [Full GC 9161K->8019K(20440K), 0.0424340 secs]
139.455: [Full GC 11401K->8089K(20440K), 0.0365660 secs]
149.336: [Full GC 13743K->8121K(20440K), 0.0405640 secs]
153.274: [GC 13817K->8143K(20440K), 0.0017380 secs]
154.571: [Full GC 13618K->8131K(20440K), 0.0392090 secs]
162.110: [Full GC 11864K->7983K(20440K), 0.0325560 secs]
164.305: [Full GC 8708K->7999K(20376K), 0.0313910 secs]
168.851: [Full GC 10061K->8000K(20376K), 0.0408100 secs]
172.172: [Full GC 8107K->8001K(20440K), 0.0301700 secs]
174.232: [Full GC 9523K->7987K(20376K), 0.0443910 secs]
176.036: [Full GC 8538K->7989K(20440K), 0.0350610 secs]
186.288: [GC 13621K->9112K(20376K), 0.0023800 secs]
197.446: [GC 14744K->9181K(20376K), 0.0022360 secs]
203.919: [GC 14813K->9171K(20376K), 0.0020530 secs]
209.471: [Full GC 13693K->9138K(20376K), 0.0428730 secs]
212.865: [Full GC 10496K->9160K(22144K), 0.0385120 secs]
217.085: [Full GC 10496K->8999K(22144K), 0.0343540 secs]
218.584: [Full GC 9693K->9009K(22144K), 0.0307270 secs]
221.040: [Full GC 10668K->9010K(22144K), 0.0425520 secs]
224.925: [Full GC 13452K->9012K(22144K), 0.0405930 secs]
226.272: [Full GC 10204K->9014K(22144K), 0.0463220 secs]
227.700: [Full GC 9372K->9066K(22144K), 0.0317900 secs]
230.955: [Full GC 11146K->9121K(22144K), 0.0404170 secs]
232.487: [Full GC 10425K->9133K(22144K), 0.0413920 secs]
246.534: [GC 15277K->9287K(22144K), 0.0013900 secs]
248.473: [Full GC 10253K->8831K(22144K), 0.0405430 secs]
259.870: [Full GC 13806K->8914K(22144K), 0.0454280 secs]
268.498: [Full GC 9744K->8938K(22144K), 0.0417400 secs]
270.310: [GC 15082K->9569K(22144K), 0.0068940 secs]
271.580: [GC 15713K->9698K(22144K), 0.0066430 secs]
272.778: [GC 15842K->9746K(22144K), 0.0043440 secs]
274.011: [GC 15890K->9770K(22144K), 0.0052180 secs]
275.171: [GC 15914K->9796K(22144K), 0.0058540 secs]
276.272: [GC 15940K->9810K(22144K), 0.0036970 secs]
277.456: [GC 15954K->9819K(22144K), 0.0046390 secs]
277.706: [Full GC 11092K->9337K(22144K), 0.0440870 secs]
279.250: [GC 15673K->9780K(22668K), 0.0058100 secs]
280.013: [GC 16116K->9811K(22668K), 0.0043160 secs]
280.144: [Full GC 10997K->8982K(22668K), 0.0460480 secs]
282.538: [Full GC 9395K->9039K(22668K), 0.0319530 secs]
283.628: [Full GC 9306K->9061K(22604K), 0.0326520 secs]
286.107: [Full GC 9895K->9149K(22604K), 0.0378060 secs]
287.338: [Full GC 9841K->9095K(22668K), 0.0339210 secs]
290.673: [Full GC 12309K->9149K(22668K), 0.0458640 secs]
293.367: [Full GC 9417K->9156K(22668K), 0.0326810 secs]
294.562: [GC 15428K->9756K(22604K), 0.0057050 secs]
295.153: [Full GC 12956K->9482K(22604K), 0.0489540 secs]
