2.263: [Full GC 24252K->6359K(126720K), 0.0406440 secs]
3.009: [Full GC 9557K->6361K(126848K), 0.0265290 secs]
3.680: [Full GC 7454K->6363K(126848K), 0.0266470 secs]
5.960: [Full GC 8700K->6337K(126848K), 0.0424820 secs]
6.648: [Full GC 7640K->6925K(126848K), 0.0291890 secs]
11.679: [Full GC 8393K->6929K(126848K), 0.0259270 secs]
13.962: [Full GC 9136K->6947K(126848K), 0.0256120 secs]
14.629: [Full GC 8250K->7508K(126848K), 0.0301370 secs]
19.664: [Full GC 8976K->7509K(126848K), 0.0241970 secs]
22.552: [Full GC 10088K->7525K(126848K), 0.0238840 secs]
23.220: [Full GC 9189K->8113K(126848K), 0.0337000 secs]
28.256: [Full GC 9581K->8102K(126848K), 0.0270760 secs]
30.846: [Full GC 10680K->8109K(126848K), 0.0264430 secs]
31.515: [Full GC 10144K->8681K(126848K), 0.0367810 secs]
35.610: [Full GC 9776K->8681K(126848K), 0.0256160 secs]
38.890: [Full GC 10527K->8686K(126848K), 0.0243080 secs]
40.165: [Full GC 11834K->9274K(126848K), 0.0349360 secs]
43.063: [Full GC 11852K->9305K(126848K), 0.0262000 secs]
44.492: [Full GC 11512K->9317K(126848K), 0.0326750 secs]
51.675: [Full GC 17705K->9618K(126848K), 0.0315940 secs]
52.348: [Full GC 10945K->9620K(126848K), 0.0353120 secs]
53.088: [Full GC 10587K->9622K(126848K), 0.0293230 secs]
53.758: [Full GC 10588K->9628K(126848K), 0.0296660 secs]
56.039: [Full GC 11698K->7647K(126848K), 0.0272230 secs]
56.709: [Full GC 9184K->8239K(126848K), 0.0341190 secs]
61.755: [Full GC 9940K->8244K(126848K), 0.0273860 secs]
64.038: [Full GC 10685K->8261K(126848K), 0.0272850 secs]
64.706: [Full GC 9798K->8218K(126848K), 0.0307500 secs]
69.744: [Full GC 9920K->8223K(126848K), 0.0282990 secs]
72.642: [Full GC 11036K->8243K(126848K), 0.0266300 secs]
73.314: [Full GC 9780K->8831K(126848K), 0.0338900 secs]
78.352: [Full GC 10172K->8219K(126848K), 0.0278890 secs]
80.939: [Full GC 11030K->8229K(126848K), 0.0273960 secs]
81.612: [Full GC 10497K->8801K(126848K), 0.0302910 secs]
85.699: [Full GC 10488K->8806K(126848K), 0.0265900 secs]
88.978: [Full GC 11245K->8790K(126848K), 0.0267430 secs]
90.258: [Full GC 12171K->9377K(126848K), 0.0305260 secs]
93.151: [Full GC 12187K->9411K(126848K), 0.0269860 secs]
94.583: [Full GC 11851K->9428K(126848K), 0.0338820 secs]
101.767: [Full GC 17802K->9619K(126848K), 0.0302760 secs]
102.442: [Full GC 10946K->9622K(126848K), 0.0325220 secs]
103.177: [Full GC 10948K->9628K(126848K), 0.0307260 secs]
103.849: [Full GC 10954K->9629K(126848K), 0.0307390 secs]
106.134: [Full GC 11698K->7648K(126848K), 0.0276700 secs]
106.804: [Full GC 9545K->8236K(126848K), 0.0336370 secs]
111.843: [Full GC 9933K->8240K(126848K), 0.0273630 secs]
114.129: [Full GC 10680K->8253K(126848K), 0.0265980 secs]
114.799: [Full GC 10150K->8219K(126848K), 0.0330270 secs]
119.833: [Full GC 9916K->8224K(126848K), 0.0271210 secs]
122.723: [Full GC 11034K->8243K(126848K), 0.0276700 secs]
123.400: [Full GC 10841K->8835K(126848K), 0.0324110 secs]
128.431: [Full GC 10533K->8065K(126848K), 0.0293400 secs]
131.019: [Full GC 10875K->8075K(126848K), 0.0287230 secs]
131.689: [Full GC 10343K->8647K(126848K), 0.0316470 secs]
135.787: [Full GC 9974K->8652K(126848K), 0.0264740 secs]
139.063: [Full GC 11091K->8636K(126848K), 0.0265720 secs]
140.346: [Full GC 12017K->9223K(126848K), 0.0396250 secs]
143.249: [Full GC 12033K->9257K(126848K), 0.0438840 secs]
144.697: [Full GC 12057K->9274K(126848K), 0.0319780 secs]
151.886: [Full GC 18009K->9465K(126848K), 0.0304170 secs]
152.562: [Full GC 10792K->9472K(126848K), 0.0308920 secs]
153.296: [Full GC 10799K->9474K(126848K), 0.0308800 secs]
153.968: [Full GC 10800K->9475K(126848K), 0.0334400 secs]
156.254: [Full GC 11544K->7494K(126848K), 0.0270510 secs]
156.927: [Full GC 9391K->8082K(126848K), 0.0325240 secs]
161.954: [Full GC 9779K->8086K(126848K), 0.0278090 secs]
164.238: [Full GC 10526K->8104K(126848K), 0.0263180 secs]
164.904: [Full GC 10001K->8064K(126848K), 0.0320880 secs]
169.938: [Full GC 9762K->8069K(126848K), 0.0275780 secs]
172.831: [Full GC 10880K->8089K(126848K), 0.0260630 secs]
173.500: [Full GC 9986K->8681K(126848K), 0.0315850 secs]
178.537: [Full GC 10379K->8064K(126848K), 0.0289730 secs]
181.123: [Full GC 10875K->8075K(126848K), 0.0275620 secs]
181.792: [Full GC 10704K->8651K(126848K), 0.0305130 secs]
185.874: [Full GC 9978K->8656K(126848K), 0.0279940 secs]
189.156: [Full GC 11096K->8636K(126848K), 0.0287760 secs]
190.440: [Full GC 12017K->9227K(126848K), 0.0308080 secs]
193.337: [Full GC 12037K->9257K(126848K), 0.0263080 secs]
194.769: [Full GC 11697K->9273K(126848K), 0.0324240 secs]
201.941: [Full GC 17648K->9465K(126848K), 0.0300900 secs]
202.616: [Full GC 10791K->9472K(126848K), 0.0379000 secs]
203.355: [Full GC 10798K->9474K(126848K), 0.0308600 secs]
204.028: [Full GC 10800K->9475K(126848K), 0.0336370 secs]
206.310: [Full GC 11544K->7494K(126848K), 0.0287840 secs]
206.982: [Full GC 9391K->8081K(126848K), 0.0321550 secs]
212.017: [Full GC 9779K->8086K(126848K), 0.0279480 secs]
214.300: [Full GC 10526K->8103K(126848K), 0.0264700 secs]
214.970: [Full GC 10371K->8065K(126848K), 0.0329870 secs]
219.998: [Full GC 10123K->8070K(126848K), 0.0276270 secs]
222.891: [Full GC 10880K->8089K(126848K), 0.0262540 secs]
223.563: [Full GC 9986K->8677K(126848K), 0.0335480 secs]
228.588: [Full GC 10375K->8065K(126848K), 0.0247800 secs]
231.172: [Full GC 10875K->8071K(126848K), 0.0263940 secs]
231.843: [Full GC 10339K->8647K(126848K), 0.0295710 secs]
235.934: [Full GC 9974K->8652K(126848K), 0.0274740 secs]
239.218: [Full GC 11092K->8636K(126848K), 0.0287630 secs]
240.502: [Full GC 12017K->9227K(126848K), 0.0340280 secs]
243.399: [Full GC 12038K->9262K(126848K), 0.0260460 secs]
244.834: [Full GC 11701K->9274K(126848K), 0.0358110 secs]
252.009: [Full GC 17648K->9465K(126848K), 0.0324310 secs]
252.685: [Full GC 11153K->9468K(126848K), 0.0323470 secs]
253.423: [Full GC 10794K->9469K(126848K), 0.0306390 secs]
254.096: [Full GC 11157K->9471K(126848K), 0.0309130 secs]
256.376: [Full GC 11540K->7494K(126848K), 0.0265730 secs]
257.046: [Full GC 9391K->8082K(126848K), 0.0312290 secs]
262.078: [Full GC 9779K->8087K(126848K), 0.0282260 secs]
264.354: [Full GC 10526K->8104K(126848K), 0.0290200 secs]
265.024: [Full GC 10001K->8065K(126848K), 0.0317780 secs]
270.065: [Full GC 9763K->8070K(126848K), 0.0251160 secs]
272.960: [Full GC 10880K->8089K(126848K), 0.0265340 secs]
273.632: [Full GC 9986K->8677K(126848K), 0.0343300 secs]
278.667: [Full GC 10375K->8065K(126848K), 0.0272730 secs]
281.254: [Full GC 10875K->8078K(126848K), 0.0285290 secs]
281.923: [Full GC 10346K->8650K(126848K), 0.0326620 secs]
286.006: [Full GC 10488K->8662K(126848K), 0.0270630 secs]
289.283: [Full GC 11803K->8643K(126848K), 0.0291850 secs]
290.561: [Full GC 12024K->9234K(126848K), 0.0315450 secs]
293.461: [Full GC 12045K->9269K(126848K), 0.0266040 secs]
294.893: [Full GC 11708K->9281K(126848K), 0.0349500 secs]
302.060: [Full GC 18016K->9472K(126848K), 0.0290170 secs]
