2.241: [Full GC 24256K->6363K(126720K), 0.0424360 secs]
2.988: [Full GC 9200K->6364K(126848K), 0.0289420 secs]
3.659: [Full GC 7819K->6367K(126848K), 0.0272570 secs]
5.938: [Full GC 9266K->6337K(126848K), 0.0296060 secs]
7.600: [Full GC 8702K->6926K(126848K), 0.0259360 secs]
16.381: [Full GC 15907K->7087K(126848K), 0.0335620 secs]
16.447: [Full GC 8190K->7232K(126848K), 0.0312790 secs]
19.279: [Full GC 9187K->7216K(126848K), 0.0354070 secs]
20.645: [Full GC 9462K->7219K(126848K), 0.0309490 secs]
33.749: [Full GC 21879K->7226K(126848K), 0.0369790 secs]
39.773: [GC 42298K->7294K(126848K), 0.0016930 secs]
45.234: [GC 42366K->7314K(126848K), 0.0011630 secs]
52.019: [GC 42386K->7352K(126848K), 0.0015120 secs]
58.067: [Full GC 21990K->7398K(126848K), 0.0377240 secs]
90.848: [GC 42255K->7462K(126848K), 0.0018560 secs]
97.818: [Full GC 12488K->7342K(126848K), 0.0390200 secs]
100.687: [Full GC 15782K->7831K(126848K), 0.0395920 secs]
103.004: [Full GC 11879K->7903K(126848K), 0.0365580 secs]
109.776: [Full GC 25050K->9376K(126848K), 0.0619470 secs]
113.014: [Full GC 10990K->7464K(126848K), 0.0341860 secs]
118.644: [Full GC 11747K->7546K(126848K), 0.0380720 secs]
124.841: [Full GC 14777K->7891K(126848K), 0.0403360 secs]
127.724: [Full GC 23090K->8865K(126848K), 0.0501710 secs]
137.265: [Full GC 15808K->7404K(126848K), 0.0442980 secs]
140.253: [Full GC 9839K->7579K(126848K), 0.0357470 secs]
148.777: [GC 42651K->10872K(126848K), 0.0273760 secs]
172.260: [Full GC 37396K->9508K(126848K), 0.0545470 secs]
174.159: [Full GC 11734K->9621K(126848K), 0.0330680 secs]
175.947: [Full GC 13147K->8769K(126848K), 0.0432030 secs]
177.363: [Full GC 12024K->8775K(126848K), 0.0395710 secs]
212.909: [Full GC 26822K->8900K(126848K), 0.0452520 secs]
227.093: [Full GC 16982K->8980K(126848K), 0.0414330 secs]
228.272: [Full GC 10441K->8711K(126848K), 0.0389150 secs]
243.296: [Full GC 26022K->11637K(126848K), 0.0524960 secs]
246.255: [Full GC 16318K->11905K(126848K), 0.0396870 secs]
246.920: [Full GC 14471K->12103K(126848K), 0.0375430 secs]
247.722: [Full GC 13205K->8833K(126848K), 0.0396230 secs]
257.799: [Full GC 20159K->11794K(126848K), 0.0487890 secs]
261.589: [Full GC 14399K->11806K(126848K), 0.0327270 secs]
263.377: [Full GC 15158K->12056K(126848K), 0.0460400 secs]
270.829: [Full GC 17396K->8940K(126848K), 0.0574360 secs]
270.918: [Full GC 10256K->9134K(126848K), 0.0376190 secs]
274.818: [Full GC 11358K->9136K(126848K), 0.0462230 secs]
276.829: [Full GC 10543K->9138K(126848K), 0.0334330 secs]
280.016: [Full GC 12285K->9104K(126848K), 0.0463360 secs]
281.132: [Full GC 10207K->9108K(126848K), 0.0363130 secs]
283.065: [Full GC 12061K->9663K(126848K), 0.0400350 secs]
291.504: [GC 44735K->10415K(126848K), 0.0027640 secs]
292.251: [Full GC 14666K->9689K(126848K), 0.0444780 secs]
294.780: [Full GC 15854K->9105K(126848K), 0.0485850 secs]
