0.596: [GC 4416K->1956K(15872K), 0.0178020 secs]
0.966: [GC 6372K->2992K(15872K), 0.0126330 secs]
1.170: [GC 7408K->3623K(15872K), 0.0124720 secs]
1.475: [GC 8039K->5580K(15872K), 0.0082730 secs]
2.243: [Full GC 7876K->6464K(15872K), 0.0323210 secs]
2.976: [Full GC 6774K->6466K(15936K), 0.0285760 secs]
3.651: [Full GC 6768K->6468K(15936K), 0.0269940 secs]
5.934: [Full GC 7513K->6337K(15936K), 0.0298840 secs]
6.607: [Full GC 7014K->6925K(15936K), 0.0294290 secs]
11.643: [Full GC 7468K->6930K(16792K), 0.0274940 secs]
13.928: [Full GC 8240K->6947K(16792K), 0.0259210 secs]
14.593: [Full GC 7655K->7356K(16792K), 0.0731380 secs]
19.668: [Full GC 7860K->7357K(17896K), 0.0730230 secs]
22.608: [Full GC 8935K->7373K(17896K), 0.0246920 secs]
23.273: [Full GC 8052K->7961K(17896K), 0.0354990 secs]
28.315: [Full GC 8462K->7950K(19288K), 0.0234730 secs]
30.902: [Full GC 9772K->7957K(19288K), 0.0237800 secs]
31.574: [Full GC 9149K->8528K(19288K), 0.0290250 secs]
35.651: [Full GC 8930K->8529K(20680K), 0.0261990 secs]
38.932: [Full GC 9690K->8534K(20680K), 0.0248180 secs]
40.209: [Full GC 10862K->9122K(20680K), 0.0301160 secs]
43.108: [Full GC 10791K->9153K(22116K), 0.0334050 secs]
44.555: [Full GC 10403K->9165K(22116K), 0.0299190 secs]
48.764: [GC 15309K->9438K(22116K), 0.0021300 secs]
51.721: [Full GC 11056K->9264K(22116K), 0.0286940 secs]
52.395: [Full GC 9618K->8072K(22420K), 0.0308430 secs]
53.129: [Full GC 8425K->8074K(22420K), 0.0293100 secs]
53.804: [Full GC 8426K->8080K(22420K), 0.0309290 secs]
56.090: [Full GC 9212K->7494K(22420K), 0.0284740 secs]
56.762: [Full GC 8204K->8086K(22420K), 0.0304060 secs]
61.802: [Full GC 8732K->8091K(22420K), 0.0261590 secs]
64.079: [Full GC 9479K->8108K(22420K), 0.0274850 secs]
64.748: [Full GC 8818K->8063K(22420K), 0.0341500 secs]
69.777: [Full GC 8709K->8068K(22420K), 0.0291540 secs]
72.681: [Full GC 9690K->8088K(22420K), 0.0300560 secs]
73.354: [Full GC 8799K->8676K(22420K), 0.0441260 secs]
78.475: [Full GC 9291K->8063K(22420K), 0.0265970 secs]
81.066: [Full GC 9954K->8074K(22420K), 0.0260650 secs]
81.735: [Full GC 9331K->8646K(22420K), 0.0306560 secs]
85.817: [Full GC 9164K->8651K(22420K), 0.0260870 secs]
89.096: [Full GC 9951K->8635K(22420K), 0.0274380 secs]
90.377: [Full GC 11041K->9222K(22420K), 0.0313110 secs]
93.278: [Full GC 10974K->9256K(22420K), 0.0261430 secs]
94.708: [Full GC 10543K->9272K(22420K), 0.0304710 secs]
99.018: [GC 15480K->9488K(22420K), 0.0018590 secs]
101.875: [Full GC 10982K->9257K(22420K), 0.0264950 secs]
102.545: [Full GC 9609K->8070K(22420K), 0.0313360 secs]
103.276: [Full GC 8421K->8076K(22420K), 0.0314660 secs]
103.951: [Full GC 8443K->8078K(22420K), 0.0327160 secs]
106.240: [Full GC 9236K->7493K(22420K), 0.0263440 secs]
106.908: [Full GC 8274K->8080K(22420K), 0.0282160 secs]
